timestamp;datetime_local;Roundtripzeit;ocr_confidence;source_file
1769673449;2026-01-29 08:57:29;15;0.998;DELLU2722DE_1769673449.png
1769673450;2026-01-29 08:57:30;15;0.998;DELLU2722DE_1769673450.png
1769673451;2026-01-29 08:57:31;15;0.998;DELLU2722DE_1769673451.png
1769673452;2026-01-29 08:57:32;15;0.998;DELLU2722DE_1769673452.png
1769673453;2026-01-29 08:57:33;15;0.998;DELLU2722DE_1769673453.png
1769673454;2026-01-29 08:57:34;15;0.998;DELLU2722DE_1769673454.png
1769673455;2026-01-29 08:57:35;15;0.998;DELLU2722DE_1769673455.png
1769673456;2026-01-29 08:57:36;18;1.000;DELLU2722DE_1769673456.png
1769673457;2026-01-29 08:57:37;17;0.998;DELLU2722DE_1769673457.png
1769673458;2026-01-29 08:57:38;16;0.995;DELLU2722DE_1769673458.png
1769673459;2026-01-29 08:57:39;18;1.000;DELLU2722DE_1769673459.png
1769673460;2026-01-29 08:57:40;19;1.000;DELLU2722DE_1769673460.png
1769673461;2026-01-29 08:57:41;15;0.998;DELLU2722DE_1769673461.png
1769673462;2026-01-29 08:57:42;15;0.998;DELLU2722DE_1769673462.png
1769673463;2026-01-29 08:57:43;17;0.998;DELLU2722DE_1769673463.png
1769673464;2026-01-29 08:57:44;18;1.000;DELLU2722DE_1769673464.png
1769673465;2026-01-29 08:57:45;23;1.000;DELLU2722DE_1769673465.png
1769673466;2026-01-29 08:57:46;22;1.000;DELLU2722DE_1769673466.png
1769673467;2026-01-29 08:57:47;20;1.000;DELLU2722DE_1769673467.png
1769673468;2026-01-29 08:57:48;17;0.998;DELLU2722DE_1769673468.png
1769673469;2026-01-29 08:57:49;20;1.000;DELLU2722DE_1769673469.png
1769673470;2026-01-29 08:57:50;20;1.000;DELLU2722DE_1769673470.png
1769673471;2026-01-29 08:57:51;20;1.000;DELLU2722DE_1769673471.png
1769673472;2026-01-29 08:57:52;16;0.996;DELLU2722DE_1769673472.png
1769673473;2026-01-29 08:57:53;15;0.998;DELLU2722DE_1769673473.png
1769673474;2026-01-29 08:57:54;16;0.994;DELLU2722DE_1769673474.png
1769673475;2026-01-29 08:57:55;15;0.998;DELLU2722DE_1769673475.png
1769673476;2026-01-29 08:57:56;16;0.994;DELLU2722DE_1769673476.png
1769673477;2026-01-29 08:57:57;16;0.994;DELLU2722DE_1769673477.png
1769673478;2026-01-29 08:57:58;15;0.998;DELLU2722DE_1769673478.png
1769673479;2026-01-29 08:57:59;15;0.998;DELLU2722DE_1769673479.png
1769673480;2026-01-29 08:58:00;14;1.000;DELLU2722DE_1769673480.png
